panel zone shear distortion (rad),panel zone shear force (kN)
-0.000859673,-968.4016425
-0.000876395,-985.111717
-0.000892403,-1002.425316
-0.000904128,-1018.531867
-0.000923047,-1036.081217
-0.000926123,-1018.060363
-0.000925271,-999.5585764
-0.000925134,-981.1793802
-0.000924859,-962.6775931
-0.000924859,-944.0532149
-0.000923596,-926.0342472
-0.00092302,-907.8926887
-0.000921372,-889.8690059
-0.000909098,-873.3984548
-0.000898142,-855.0173725
-0.000885045,-837.1143944
-0.000867334,-818.6135504
-0.000848717,-800.7105723
-0.000832846,-782.32949
-0.000817057,-763.5900656
-0.00079347,-745.0901642
-0.000777489,-727.0674244
-0.000755413,-709.0446846
-0.000734791,-691.6188681
-0.000713264,-673.4763666
-0.000696789,-657.1246342
-0.000679462,-639.1018944
-0.000663015,-621.5563157
-0.000644837,-603.2949951
-0.00062795,-587.0620818
-0.000610239,-569.1591037
-0.00059165,-551.4947064
-0.000568008,-533.5907853
-0.000546453,-515.6878076
-0.000532504,-497.6641248
-0.000515205,-478.6870622
-0.000499993,-460.425742
-0.000474253,-442.2832402
-0.000461147,-424.0219198
-0.000439196,-406.1179988
-0.000423974,-388.095259
-0.000411327,-369.7141767
-0.000392328,-351.6914369
-0.000373299,-334.2656202
-0.000350097,-316.2428804
-0.000334033,-298.3399024
-0.000310392,-280.3171626
-0.000294328,-262.174661
-0.000279144,-244.1519212
-0.000260115,-225.8906007
-0.000243255,-207.2709378
-0.000228455,-188.8898556
-0.000206488,-170.7473539
-0.000191716,-152.3662717
-0.000179881,-133.7475518
-0.000162582,-115.3900446
-0.000149501,-97.30789547
-0.000133429,-79.22518043
-0.000120343,-60.53394334
-0.000101778,-42.29629235
-8.44E-05,-24.05864137
-6.59E-05,-5.209903329
-5.19E-05,13.63408196
-3.12E-05,32.33720094
-1.52E-05,51.02843803
8.02E-06,69.87479968
2.33E-05,87.80210725
4.39E-05,105.7289433
5.92E-05,123.7045328
7.48E-05,140.4146076
0.000100553,158.5561662
0.000115601,176.8184296
0.000125541,194.7214076
0.000139462,212.7441474
0.000158079,231.2449915
0.000178234,249.506312
0.000196411,267.8873942
0.00021695,286.2675335
0.000241553,304.2902733
0.000260115,322.3130131
0.000281368,341.4107803
0.00029982,359.9106814
0.000318327,378.053183
0.000330217,396.4333223
0.000348806,414.3372432
0.000366846,433.3152486
0.000389362,452.0537304
0.000403641,470.4348127
0.000422203,489.1732945
0.000437085,507.315796
0.000454769,525.9354591
0.000469212,543.8384367
0.000490657,561.7423579
0.000511718,580.3620205
0.000526271,598.3847608
0.000549336,616.7658426
0.000563065,635.2657441
0.000582561,653.5270642
0.000604253,671.4309854
0.000621552,689.692306
0.000636105,707.5952836
0.000653404,726.0961281
0.000674822,744.2376865
0.000688276,762.8573492
0.000708047,781.2384315
0.000723149,799.2611713
0.000739899,817.6422536
0.00075912,835.7847556
0.000779164,853.8074954
0.000790971,871.710473
0.000810467,889.852975
0.000823647,906.9204489
0.000843143,924.9431887
0.000864835,942.9659285
0.000875818,958.9621475
0.000895589,977.218753
0.000916457,995.8431308
0.000934305,1013.863985
0.000949407,1032.243181
0.00096094,1047.284134
0.000980985,1065.427579
0.00100323,1083.571023
0.00100927,1088.700979
0.00102574,1106.721832
0.00102464,1088.700979
0.00102327,1070.199192
0.00102355,1051.942586
0.00102464,1033.799142
0.00102327,1015.655697
0.00102382,997.7480039
0.00102327,979.1330559
0.00102272,960.9896114
0.00102327,942.7273482
0.00101888,924.3472089
0.00100487,905.6077841
0.000988399,887.5850443
0.000971374,869.4425428
0.000951329,851.1812222
0.000934305,833.1584824
0.000918105,814.7774001
0.000897511,796.5160795
0.000879937,778.4933397
0.000862089,760.4705999
0.000842319,742.3280984
0.00082859,724.3053586
0.000809643,706.2826188
0.000795639,688.3796407
0.000776693,669.759978
0.000757197,651.6174761
0.000739075,633.3561559
0.000722874,614.9750736
0.000704752,596.3554105
0.000689924,578.3326707
0.000669879,560.429693
0.00065258,542.1674294
0.000637478,523.7872901
0.000617433,505.883369
0.000596016,487.1448876
0.000577618,469.0023857
0.000560045,450.9796459
0.000539726,432.5985637
0.000525447,414.0986626
0.000505155,395.7175804
0.000478575,379.365848
0.000464187,360.9847657
0.000445405,342.8422641
0.000430413,324.8195243
0.000412894,305.842462
0.000394854,287.3416179
0.00037588,269.4386399
0.000353776,251.1773195
0.000337713,232.7962372
0.000323215,214.5349167
0.000305422,196.3924151
0.000282164,177.892514
0.000263437,159.6311936
0.000241031,141.0115307
0.000218872,122.6304484
0.000196274,104.667118
0.000179634,86.72792859
0.000159205,68.80052672
0.000142702,50.87321916
0.000131279,32.94591162
0.000118594,14.70826064
9.89E-05,-3.677366922
7.55E-05,-21.75987448
5.94E-05,-40.45818412
3.84E-05,-59.14942124
